dx,G0,field,offset,R56
0.005,15.0,0.1625,0.0183896694405111,0.02219732420192637
0.005,15.0,0.175,0.019921991182898734,0.02635377887973317
0.005,15.0,0.1875,0.021607791209748563,0.030255360378117255
0.005,15.0,0.2,0.023252565344942234,0.03442629081498158
0.0075,14.0,0.15,0.018190153966224,0.02178187876505447
0.0075,14.0,0.1625,0.019872900269799588,0.0255825713509773
0.0075,14.0,0.175,0.02161839948110599,0.030428970822473103
0.0075,14.0,0.1875,0.023398708157602952,0.03492492817341952
0.0075,14.0,0.2,0.025279146912918955,0.04082864242000748
0.0075,14.25,0.15,0.017867118480948987,0.02115146169666686
0.0075,14.25,0.1625,0.019493989789484294,0.025219002664089912
0.0075,14.25,0.175,0.02120226940843292,0.02871974890981463
0.0075,14.25,0.1875,0.02296258796257103,0.03323368558594994
0.0075,14.25,0.2,0.0247572497054894,0.0390172994671539
0.0075,14.5,0.15,0.017482217748117538,0.020023027560998677
0.0075,14.5,0.1625,0.019117234471500853,0.0229146890936215
0.0075,14.5,0.175,0.020755387343581497,0.028678267668216198
0.0075,14.5,0.1875,0.02246165614079028,0.03191193269281439
0.0075,14.5,0.2,0.024208921248785268,0.03602478586724468
0.0075,14.75,0.15,0.01716084350852904,0.019335526040875364
0.0075,14.75,0.1625,0.01871530343496103,0.02266945085822178
0.0075,14.75,0.175,0.020359369587292588,0.02667985448434798
0.0075,14.75,0.1875,0.02202248396574934,0.030843333105845624
0.0075,14.75,0.2,0.0237501170683529,0.03514548998819804
0.0075,15.0,0.15,0.016843169362379746,0.01883518486595734
0.0075,15.0,0.1625,0.01842274858560815,0.021965378099599822
0.0075,15.0,0.175,0.01999888724476216,0.02566869128170901
0.0075,15.0,0.1875,0.021618094690408252,0.029451444586716377
0.0075,15.0,0.2,0.023319124537462852,0.03457969020873472
0.01,14.0,0.15,0.018149055467580062,0.021881015976936063
0.01,14.0,0.1625,0.019843150686032478,0.02561943701628759
0.01,14.0,0.175,0.021615644074909682,0.029094609777356215
0.01,14.0,0.1875,0.023392371216131386,0.03432745067505191
0.01,14.0,0.2,0.025296758951100874,0.039814063363719794
0.01,14.25,0.15,0.017801804939904683,0.021466972276287813
0.01,14.25,0.1625,0.019464385893251446,0.024357562697284965
0.01,14.25,0.175,0.021138776603024833,0.02852812186547396
0.01,14.25,0.1875,0.022917792196209354,0.031675422268277326
0.01,14.25,0.2,0.024762664548867802,0.0374580744982944
0.01,14.5,0.15,0.01747039081479323,0.02074409465467314
0.01,14.5,0.1625,0.019081794253921845,0.023416659318023086
0.01,14.5,0.175,0.02076895764052213,0.02761088491118255
0.01,14.5,0.1875,0.02251072177287771,0.031902356511711555
0.01,14.5,0.2,0.02422094650028276,0.03637755488568846
0.01,14.75,0.15,0.0171233761746271,0.020094973604132024
0.01,14.75,0.1625,0.01873034521692699,0.02338485605756238
0.01,14.75,0.175,0.02035250301086833,0.026673416223012808
0.01,14.75,0.1875,0.022019642398448114,0.03057290246803311
0.01,14.75,0.2,0.02376695362121435,0.03441241599621303
0.01,15.0,0.15,0.01686276646873898,0.019369182130002133
0.01,15.0,0.1625,0.0184142105769534,0.02172845168144691
0.01,15.0,0.175,0.01997178947035459,0.026137004251439888
0.01,15.0,0.1875,0.021613777880849054,0.02926594349726168
0.01,15.0,0.2,0.02327925428727779,0.03421119052131055
